Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Maurice;MUS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Malawi;MWI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;9;11;11;11
Malaisie;MYS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Amérique du Nord;NAC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Namibie;NAM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Nouvelle-Calédonie;NCL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Niger;NER;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Nigéria;NGA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;9;9;9
Nicaragua;NIC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;2;2
Pays-Bas;NLD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Norvège;NOR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Népal;NPL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;10;10;10
Nauru;NRU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Nouvelle-Zélande;NZL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;12;12;12;12;12;12;12
Pays membres de l'OCDE;OED;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5,552631579;5,921052632;6,184210526;6,184210526;6,236842105;6,421052632;6,421052632
Oman;OMN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Autres petits états;OSS;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3,923076923;3,923076923;3,923076923;4,038461538;4,307692308;4,461538462;4,653846154
Pakistan;PAK;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Panama;PAN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;7;7;7;8;8;8
Pérou;PER;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Philippines;PHL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Palaos;PLW;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Papouasie-Nouvelle-Guinée;PNG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;9;9;9;9
Pologne;POL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
